year,month,state_code,deaths
1999,3,ACT,1
1999,3,NSW,61
1999,3,NT,2
1999,3,QLD,27
1999,3,SA,5
1999,3,TAS,6
1999,3,VIC,35
1999,3,WA,18
1999,4,ACT,2
1999,4,NSW,47
1999,4,NT,1
1999,4,QLD,19
1999,4,SA,27
1999,4,TAS,6
1999,4,VIC,35
1999,4,WA,17
1999,5,NSW,60
1999,5,NT,2
1999,5,QLD,30
1999,5,SA,11
1999,5,TAS,6
1999,5,VIC,34
1999,5,WA,14
1999,6,ACT,3
1999,6,NSW,40
1999,6,NT,6
1999,6,QLD,24
1999,6,SA,11
1999,6,TAS,3
1999,6,VIC,24
1999,6,WA,21
1999,7,NSW,39
1999,7,NT,4
1999,7,QLD,32
1999,7,SA,13
1999,7,TAS,2
1999,7,VIC,35
1999,7,WA,13
1999,8,NSW,44
1999,8,NT,7
1999,8,QLD,24
1999,8,SA,5
1999,8,TAS,4
1999,8,VIC,26
1999,8,WA,25
1999,9,ACT,2
1999,9,NSW,52
1999,9,NT,8
1999,9,QLD,30
1999,9,SA,9
1999,9,TAS,4
1999,9,VIC,27
1999,9,WA,25
1999,10,NSW,43
1999,10,NT,5
1999,10,QLD,37
1999,10,SA,14
1999,10,TAS,2
1999,10,VIC,38
1999,10,WA,15
1999,11,ACT,2
1999,11,NSW,48
1999,11,NT,3
1999,11,QLD,28
1999,11,SA,13
1999,11,TAS,8
1999,11,VIC,29
1999,11,WA,23
1999,12,ACT,5
1999,12,NSW,50
1999,12,NT,3
1999,12,QLD,26
1999,12,SA,11
1999,12,TAS,3
1999,12,VIC,37
1999,12,WA,14
2000,1,NSW,50
2000,1,NT,3
2000,1,QLD,30
2000,1,SA,11
2000,1,TAS,4
2000,1,VIC,32
2000,1,WA,16
2000,2,ACT,1
2000,2,NSW,52
2000,2,NT,3
2000,2,QLD,17
2000,2,SA,6
2000,2,TAS,8
2000,2,VIC,26
2000,2,WA,12
2000,3,ACT,2
2000,3,NSW,48
2000,3,NT,4
2000,3,QLD,32
2000,3,SA,15
2000,3,TAS,2
2000,3,VIC,46
2000,3,WA,18
2000,4,NSW,55
2000,4,NT,3
2000,4,QLD,23
2000,4,SA,16
2000,4,TAS,4
2000,4,VIC,32
2000,4,WA,14
2000,5,ACT,1
2000,5,NSW,53
2000,5,NT,4
2000,5,QLD,30
2000,5,SA,18
2000,5,TAS,5
2000,5,VIC,39
2000,5,WA,15
2000,6,ACT,1
2000,6,NSW,48
2000,6,NT,5
2000,6,QLD,20
2000,6,SA,18
2000,6,TAS,1
2000,6,VIC,32
2000,6,WA,22
2000,7,ACT,2
2000,7,NSW,58
2000,7,NT,6
2000,7,QLD,33
2000,7,SA,12
2000,7,TAS,2
2000,7,VIC,33
2000,7,WA,20
2000,8,ACT,1
2000,8,NSW,33
2000,8,NT,5
2000,8,QLD,30
2000,8,SA,12
2000,8,TAS,2
2000,8,VIC,29
2000,8,WA,14
2000,9,ACT,4
2000,9,NSW,50
2000,9,NT,5
2000,9,QLD,26
2000,9,SA,17
2000,9,TAS,3
2000,9,VIC,36
2000,9,WA,20
2000,10,ACT,4
2000,10,NSW,39
2000,10,NT,5
2000,10,QLD,25
2000,10,SA,18
2000,10,TAS,1
2000,10,VIC,29
2000,10,WA,26
2000,11,NSW,49
2000,11,NT,4
2000,11,QLD,26
2000,11,SA,10
2000,11,TAS,5
2000,11,VIC,44
2000,11,WA,18
2000,12,ACT,2
2000,12,NSW,68
2000,12,NT,4
2000,12,QLD,25
2000,12,SA,13
2000,12,TAS,6
2000,12,VIC,29
2000,12,WA,17
2001,1,ACT,2
2001,1,NSW,38
2001,1,NT,3
2001,1,QLD,25
2001,1,SA,7
2001,1,TAS,5
2001,1,VIC,44
2001,1,WA,14
