year,state_code,speed_band,crashes,deaths
2011,NSW,110+,21,22
2011,NSW,60,41,41
2011,NSW,70–80,62,69
2011,NSW,90,8,8
2011,NSW,≤50,70,74
2011,NT,100,3,3
2011,NT,110+,19,23
2011,NT,60,5,5
2011,NT,70–80,9,12
2011,NT,≤50,2,2
2011,QLD,100,111,138
2011,QLD,110+,3,4
2011,QLD,60,51,59
2011,QLD,70–80,41,44
2011,QLD,90,3,3
2011,QLD,≤50,18,21
2011,SA,100,21,22
2011,SA,110+,24,30
2011,SA,60,17,17
2011,SA,70–80,14,15
2011,SA,90,4,4
2011,SA,≤50,15,15
2011,TAS,100,10,10
2011,TAS,110+,4,4
2011,TAS,60,1,1
2011,TAS,70–80,5,5
2011,TAS,≤50,3,4
2011,VIC,100,109,130
2011,VIC,110+,9,9
2011,VIC,60,44,47
2011,VIC,70–80,57,60
2011,VIC,90,1,1
2011,VIC,≤50,39,40
2011,WA,100,13,14
2011,WA,110+,71,79
2011,WA,60,22,23
2011,WA,70–80,29,29
2011,WA,90,4,6
2011,WA,≤50,28,28
2012,ACT,100,2,2
2012,ACT,60,2,2
2012,ACT,70–80,5,5
2012,ACT,≤50,3,3
2012,NSW,100,113,130
2012,NSW,110+,23,29
2012,NSW,60,61,62
2012,NSW,70–80,59,62
2012,NSW,90,14,16
2012,NSW,≤50,66,70
2012,NT,100,5,7
2012,NT,110+,17,23
2012,NT,60,5,6
2012,NT,70–80,9,9
2012,NT,90,1,1
2012,NT,≤50,3,3
2012,QLD,100,96,109
2012,QLD,110+,9,13
2012,QLD,60,76,77
2012,QLD,70–80,51,58
2012,QLD,90,3,3
2012,QLD,≤50,20,20
2012,SA,100,17,18
2012,SA,110+,20,25
2012,SA,60,17,18
2012,SA,70–80,17,17
2012,SA,90,5,6
2012,SA,≤50,10,10
2012,TAS,100,13,13
2012,TAS,110+,4,6
2012,TAS,60,1,1
2012,TAS,70–80,7,7
2012,TAS,≤50,4,4
2012,VIC,100,107,117
2012,VIC,110+,9,10
2012,VIC,60,54,58
2012,VIC,70–80,62,66
2012,VIC,90,2,2
2012,VIC,≤50,27,29
2012,WA,100,7,8
2012,WA,110+,57,66
2012,WA,60,32,32
2012,WA,70–80,32,33
2012,WA,90,10,11
2012,WA,≤50,33,33
2013,ACT,60,3,3
2013,ACT,70–80,3,3
2013,ACT,≤50,1,1
2013,NSW,100,108,118
2013,NSW,110+,20,21
2013,NSW,60,51,54
2013,NSW,70–80,70,72
2013,NSW,90,12,13
2013,NSW,≤50,55,55
2013,NT,100,4,4
2013,NT,110+,16,18
2013,NT,60,7,7
2013,NT,70–80,5,7
2013,NT,≤50,1,1
2013,QLD,100,110,122
2013,QLD,110+,12,14
2013,QLD,60,49,52
2013,QLD,70–80,45,49
2013,QLD,90,8,11
2013,QLD,≤50,22,23
2013,SA,100,24,26
2013,SA,110+,15,18
2013,SA,60,17,18
2013,SA,70–80,9,10
2013,SA,90,3,3
2013,SA,≤50,22,23
2013,TAS,100,17,17
2013,TAS,110+,1,1
2013,TAS,60,3,3
2013,TAS,70–80,6,6
2013,TAS,90,1,1
2013,TAS,≤50,7,8
2013,VIC,100,94,107
2013,VIC,110+,12,15
2013,VIC,60,44,44
2013,VIC,70–80,50,52
2013,VIC,90,3,3
2013,VIC,≤50,22,22
2013,WA,100,11,12
2013,WA,110+,48,51
2013,WA,60,28,29
2013,WA,70–80,31,38
2013,WA,90,4,5
2013,WA,≤50,26,26
2014,ACT,100,2,2
2014,ACT,60,5,5
2014,ACT,70–80,2,2
2014,ACT,≤50,1,1
2014,NSW,100,96,108
2014,NSW,110+,17,19
2014,NSW,60,59,61
2014,NSW,70–80,53,58
